# X1,X2,Y,Z,lat_const /a.u.
Au,Au,Mn,Al,12.08266
Co,Co,Cr,Al,10.77402
Co,Co,Fe,Al,10.75996
Co,Co,Fe,Ga,10.79686
Co,Co,Fe,Ge,10.83486
Co,Co,Fe,Si,10.61628
Co,Co,Mn,Al,10.75328
Co,Co,Mn,Ga,10.7916
Co,Co,Mn,Ge,10.82693
Co,Co,Mn,Si,10.62698
Co,Co,Mn,Sn,11.27151
Co,Co,Mn,Ti,11.03478
Co,Co,Nb,Sn,11.66365
Co,Co,Ni,Ga,10.73516
Co,Co,Ti,Al,11.01299
Co,Co,Ti,Ga,11.01841
Co,Co,Ti,Ge,11.04074
Co,Co,Ti,Sb,11.48624
Co,Co,Ti,Si,10.8606
Co,Co,Ti,Sn,11.45737
Co,Co,V,Al,10.82792
Co,Co,V,Si,10.71595
Co,Co,Zr,Al,11.46207
Co,Co,Zr,Sn,11.8818
Cr,Cr,Mn,As,11.09317
Cr,Cr,Mn,Bi,11.9098
Cr,Cr,Mn,P,10.74579
Cr,Cr,Mn,Sb,11.60436
Cu,Cu,Mn,Al,11.21366
Cu,Cu,Mn,In,11.73605
Cu,Cu,Mn,Sn,11.79518
Fe,Fe,Mn,Al,10.72541
Fe,Fe,Mn,Si,10.56467
Fe,Fe,V,Al,10.78867
Ni,Ni,Mn,Ga,10.97489
Ni,Ni,Mn,Ge,10.98509
Ni,Ni,Mn,In,11.4663
Ni,Ni,Mn,Sb,11.46667
Ni,Ni,Mn,Sn,11.45963
Pd,Pd,Mn,Ge,11.7731
Pd,Pd,Mn,Sb,12.2415
Pd,Pd,Mn,Sn,12.1547
Rh,Rh,Mn,Ge,11.48699
Rh,Rh,Mn,Pb,12.1059
Rh,Rh,Mn,Sb,11.929
Rh,Rh,Mn,Sn,11.9012